job,day,month,duration,campaign,pdays,previous,Outcome
unemployed,19,oct,79,1,-1,0,no
services,11,may,220,1,339,4,no
management,16,apr,185,1,330,1,no
management,3,jun,199,4,-1,0,no
blue-collar,5,may,226,1,-1,0,no
management,23,feb,141,2,176,3,no
self-employed,14,may,341,1,330,2,no
technician,6,may,151,2,-1,0,no
entrepreneur,14,may,57,2,-1,0,no
services,17,apr,313,1,147,2,no
services,20,may,273,1,-1,0,no
admin.,17,apr,113,2,-1,0,no
technician,13,aug,328,2,-1,0,no
student,30,apr,261,1,-1,0,yes
blue-collar,29,jan,89,1,241,1,no
management,29,aug,189,2,-1,0,no
technician,27,aug,239,5,-1,0,no
admin.,20,apr,114,1,152,2,no
blue-collar,23,may,250,1,-1,0,no
services,7,jul,148,1,152,1,no
management,18,nov,96,2,-1,0,no
management,19,nov,140,3,-1,0,no
services,12,jun,109,2,-1,0,no
entrepreneur,7,jul,125,2,-1,0,no
housemaid,30,jan,169,3,-1,0,no
management,20,nov,182,2,-1,0,no
blue-collar,5,may,247,1,-1,0,no
retired,17,aug,119,1,105,2,no
self-employed,30,jul,149,2,-1,0,no
admin.,21,aug,74,2,-1,0,no
retired,14,jul,897,2,-1,0,yes
technician,27,aug,81,3,-1,0,no
management,21,nov,40,1,-1,0,no
management,26,aug,958,6,-1,0,yes
technician,13,aug,354,3,-1,0,yes
admin.,14,may,150,1,-1,0,no
retired,22,oct,97,1,-1,0,yes
blue-collar,14,nov,132,1,-1,0,yes
management,6,may,765,1,342,2,yes
services,30,may,16,18,-1,0,no
management,17,nov,609,2,101,3,no
management,11,aug,106,2,-1,0,no
blue-collar,13,may,365,1,-1,0,no
technician,13,may,205,3,-1,0,no
technician,21,nov,11,4,-1,0,no
management,7,may,105,2,-1,0,no
blue-collar,2,feb,59,3,5,2,no
blue-collar,21,may,425,1,-1,0,no
entrepreneur,4,feb,204,1,-1,0,no
admin.,27,jan,181,1,92,1,yes
blue-collar,5,jun,1018,3,-1,0,yes
technician,20,aug,1740,2,-1,0,no
technician,29,aug,98,2,-1,0,no
technician,15,jun,441,1,56,1,yes
blue-collar,14,jul,272,3,-1,0,no
admin.,15,jul,159,2,-1,0,no
management,4,feb,140,1,-1,0,no
self-employed,17,nov,295,1,-1,0,no
